score;completeness;rescuebot_action;rescuebot_location;daisy_action;daisy_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);Daisy;1.0;1.0;1.0;1.0;1.0;1.0;1;0
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;1
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;2
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;3
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;4
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;5
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;6
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;7
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;8
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;9
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;10
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;11
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;12
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;13
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;14
0;0.0;;(22, 11);;(22, 12);Daisy;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1;15
