score;completeness;rescuebot_action;rescuebot_location;ben_action;ben_location;name;competency_rescue_severelyInjured;competency_rescue_mildlyInjured;competency_arrival;willingness_search;willingness_response;willingness_rescue;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;0
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;1
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;2
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;3
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;4
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;5
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;6
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;7
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;8
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;9
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;10
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;11
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;12
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;13
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;14
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;15
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;16
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;17
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;18
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;19
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;20
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;21
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;22
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;23
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;24
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;25
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;26
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;27
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;28
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;29
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;30
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;31
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;32
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;33
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;34
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;35
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;36
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;37
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;38
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;39
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;40
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;41
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;42
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;43
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;44
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;45
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;46
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;47
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;48
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;49
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;50
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;51
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;52
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;53
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;54
0;0.0;;(22, 11);;(22, 12);Ben;1.0;1.0;1.0;-1.0;1.0;-0.5000000000000001;1;55
